soc,wage_50_comparison_groups,wage_10,wage_25,wage_50,education,experience,training,english,health_insurance_pct,regular_schedule_pct,full_time_pct,safety_conditions,male_75+_pct,male_pct,employment_2014,employment_2024,growth_2014_2024,growth_2014_2024_pct,growth_replacement_2014_2024
512023,30000,21880,26590,33580,1,None,Moderate-term on-the-job training,3,0.752,0.708,0.958,11,No,0.533,47.2,44.7,-2.5,-0.053,5.8
517031,28000,21330,25960,33590,1,None,Moderate-term on-the-job training,2,0.584,0.721,0.905,12,Yes,0.895,2.6,2.6,0,-0.014,0.6
472142,30000,21230,26740,33590,0,None,Long-term on-the-job training,3,0.327,0.561,0.893,11,Yes,0.955,6.4,6.6,0.2,0.024,1.2
537081,30000,19860,24990,33800,0,None,Short-term on-the-job training,2.8,0.667,0.779,0.857,11,Yes,0.93,131.5,140.9,9.4,0.071,42.4
519021,29100,21440,26290,33810,1,None,Moderate-term on-the-job training,2.7,0.777,0.809,0.972,12,Yes,0.864,30.2,27.9,-2.3,-0.075,6.5
493022,34000,20390,26460,33830,1,None,Moderate-term on-the-job training,3.3,0.562,0.513,0.911,10,Yes,0.985,19.3,20.8,1.5,0.078,4.1
514052,29000,22030,27220,33850,1,None,Moderate-term on-the-job training,2.1,0.836,0.792,0.991,10,Yes,0.99,9.8,7.2,-2.6,-0.266,3.1
514081,29000,22040,27060,33950,1,None,Moderate-term on-the-job training,2.7,0.764,0.678,0.977,12,Yes,0.787,99.8,97.3,-2.5,-0.025,17.3
397012,27000,19940,26590,34180,1,None,Moderate-term on-the-job training,3.1,0.415,0.685,0.489,10,No,0.693,3.9,3.9,0,0,1.5
493052,30000,21770,26940,34220,2,None,Short-term on-the-job training,3.3,0.537,0.979,0.921,9,Yes,0.982,17,18,1,0.06,4.4
433011,28000,22920,27730,34440,1,None,Moderate-term on-the-job training,3.4,0.788,0.931,0.934,8,No,0.292,350.4,330.9,-19.6,-0.056,85.6
519023,29100,21730,26970,34600,1,None,Moderate-term on-the-job training,3.2,0.777,0.781,0.972,11,Yes,0.864,125.1,119.2,-5.9,-0.047,27.1
499064,26000,19320,23960,34750,1,None,Long-term on-the-job training,3,0.772,0.788,0.916,7,Yes,0.89,2.7,2,-0.7,-0.257,0.5
292081,28800,21980,27030,34840,1,None,Long-term on-the-job training,3.6,0.739,1,0.798,8,No,0.25,75.2,93,17.8,0.237,37.9
434141,25000,25860,29460,34880,1,None,Moderate-term on-the-job training,3.8,0.954,1,0.923,5,No,0.325,52.9,48.6,-4.3,-0.082,12.9
519082,32000,22400,27680,34890,1,None,Long-term on-the-job training,3.5,0.741,0.796,0.829,12,No,0.454,14.6,16.1,1.6,0.107,5.1
319094,35000,21600,27810,34890,2,None,None,4.8,0.818,0.975,0.593,4,No,0.066,70,67.8,-2.2,-0.031,14.6
472131,31200,23140,28060,35040,0,None,Short-term on-the-job training,2.9,0.588,0.33,0.956,10,Yes,0.98,25.6,27.1,1.5,0.061,10.2
433021,28700,24570,28890,35050,1,None,Moderate-term on-the-job training,3.2,0.834,1,0.876,9,No,0.117,514.6,581.1,66.5,0.129,174.1
514022,30000,22250,27370,35070,1,None,Moderate-term on-the-job training,2,0.929,0.683,0.957,10,Yes,1,21.6,17,-4.6,-0.215,5.3
434181,30000,20870,25290,35170,1,None,Short-term on-the-job training,3.8,0.821,0.604,0.802,6,No,0.421,140.8,138.8,-2,-0.014,17.7
515112,28000,20460,26590,35240,1,None,Moderate-term on-the-job training,2.9,0.743,0.635,0.942,10,Yes,0.807,173,151.4,-21.6,-0.125,26
434041,34100,24280,28510,35280,1,None,Moderate-term on-the-job training,4.2,0.865,1,0.929,6,No,0.284,46.1,43.3,-2.8,-0.062,3.8
434021,28000,24390,28980,35320,1,None,Short-term on-the-job training,3.8,0.789,0.971,0.846,5,No,0.428,8.4,7.2,-1.2,-0.147,2.3
519051,28800,22620,27890,35360,1,None,Moderate-term on-the-job training,2.8,0.869,0.904,0.886,12,Yes,0.902,20.9,18.9,-2,-0.097,5.5
514032,29900,22790,27920,35480,1,None,Moderate-term on-the-job training,2.8,0.757,0.846,0.956,10,Yes,0.826,17.8,14.1,-3.7,-0.205,3.1
514194,30000,22310,27280,35550,1,None,Moderate-term on-the-job training,2.3,0.806,0.775,0.982,10,Yes,0.807,11.5,9.5,-2,-0.175,2.8
499063,26000,19960,26380,35660,1,None,Apprenticeship,2.9,0.772,0.633,0.916,10,Yes,0.89,8.6,8.9,0.4,0.042,1.9
413041,30000,20050,26760,35660,1,None,Moderate-term on-the-job training,3.7,0.722,0.803,0.892,3,No,0.218,74.1,65.4,-8.7,-0.117,11.5
493092,30000,23010,28730,35670,1,None,Long-term on-the-job training,2.6,0.524,0.53,0.832,12,Yes,0.996,11.4,11.8,0.4,0.033,4.3
391012,28000,20580,25680,35680,1,Less than 5 years,None,3.2,0.886,0.814,0.962,11,No,0.641,7.1,6.9,-0.2,-0.032,2.4
519196,26000,21140,27420,35710,1,None,Moderate-term on-the-job training,3.8,0.851,0.512,0.829,12,No,0.737,91.9,82,-9.9,-0.107,13
